默认,#genre#
CCTV-1,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240127_1
CCTV-2,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240244_1
CCTV-3,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240245_1
CCTV-4,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240316_1
CCTV-5,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240246_1
CCTV-5+,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240128_1
CCTV-6,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240247_1
CCTV-7,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240248_1
CCTV-8,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240249_1
CCTV-9,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240250_1
CCTV-10,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240251_1
CCTV-11,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240328_1
CCTV-12,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240252_1
CCTV-13,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240502_1
CCTV-14,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240253_1
CCTV-15,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240329_1
CCTV-16,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240388_1
CCTV-17,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240326_1
浙江卫视,http://tvbox.cdtyk.com/live/iptv.php?id=浙江卫视
浙江国际,http://tvbox.cdtyk.com/live/iptv.php?id=浙江国际
江苏卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240133_1
浙江卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240134_1
湖南卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240130_1
安徽卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240256_1
山东卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240254_1
北京卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240129_1
东方卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240242_1
东南卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240588_1
天津卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240136_1
辽宁卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240255_1
广东卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240137_1
黑龙江卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240131_1
吉林卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240399_1
江西卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240398_1
深圳卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240132_1
河北卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240317_1
湖北卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240135_1
重庆卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240397_1
贵州卫视,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240318_1
CHC家庭影院,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240323_1
CHC动作电影,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240324_1
CHC高清电影,http://tvbox.cdtyk.com/live/iptv.php?id=00000110240325_1
CCTV-1,https://live.goodiptv.club/api/bestv.php?id=cctv1hd8m/8000000
CCTV-2,https://live.goodiptv.club/api/bestv.php?id=cctv2hd8m/8000000
CCTV-3,https://live.goodiptv.club/api/bestv.php?id=cctv38m/8000000
CCTV-4,https://live.goodiptv.club/api/bestv.php?id=cctv4hd8m/8000000
CCTV-5,https://live.goodiptv.club/api/bestv.php?id=cctv58m/8000000
CCTV-5+,https://live.goodiptv.club/api/bestv.php?id=cctv5phd8m/8000000
CCTV-6,https://live.goodiptv.club/api/bestv.php?id=cctv6hd8m/8000000
CCTV-7,https://live.goodiptv.club/api/bestv.php?id=cctv7hd8m/8000000
CCTV-8,https://live.goodiptv.club/api/bestv.php?id=cctv8hd8m/8000000
CCTV-9,https://live.goodiptv.club/api/bestv.php?id=cctv9hd8m/8000000
CCTV-10,https://live.goodiptv.club/api/bestv.php?id=cctv10hd8m/8000000
CCTV-11,https://live.goodiptv.club/api/bestv.php?id=cctv11hd8m/8000000
CCTV-12,https://live.goodiptv.club/api/bestv.php?id=cctv12hd8m/8000000
CCTV-13,http://live.goodiptv.club/api/bestv.php?id=cctv13xwhd8m/8000000
CCTV-14,https://live.goodiptv.club/api/bestv.php?id=cctvsehd8m/8000000
CCTV-15,https://live.goodiptv.club/api/bestv.php?id=cctv15hd8m/8000000
CCTV-16,https://live.goodiptv.club/api/bestv.php?id=cctv16hd8m/8000000
CCTV-17,https://live.goodiptv.club/api/bestv.php?id=cctv17hd8m/8000000
广西卫视,https://live.goodiptv.club/api/bestv.php?id=gxwshd8m/8000000
四川卫视,https://live.goodiptv.club/api/bestv.php?id=scwshd/8000000
湖南卫视,https://live.goodiptv.club/api/bestv.php?id=hunanwshd8m/8000000
浙江卫视,https://live.goodiptv.club/api/bestv.php?id=zjwshd8m/8000000
东方卫视,https://live.goodiptv.club/api/bestv.php?id=dfwshd8m/8000000
北京卫视,https://live.goodiptv.club/api/bestv.php?id=bjwshd8m/8000000
天津卫视,https://live.goodiptv.club/api/bestv.php?id=tjwshd8m/8000000
辽宁卫视,https://live.goodiptv.club/api/bestv.php?id=lnwshd8m/8000000
安徽卫视,https://live.goodiptv.club/api/bestv.php?id=ahwshd8m/8000000
广东卫视,https://live.goodiptv.club/api/bestv.php?id=gdwshd8m/8000000
深圳卫视,https://live.goodiptv.club/api/bestv.php?id=szwshd8m/8000000
湖北卫视,https://live.goodiptv.club/api/bestv.php?id=hubeiws8m/8000000
吉林卫视,https://live.goodiptv.club/api/bestv.php?id=jlwshd8m/8000000
山东卫视,https://live.goodiptv.club/api/bestv.php?id=sdws8m/8000000
江西卫视,https://live.goodiptv.club/api/bestv.php?id=jxws8m/8000000
河南卫视,https://live.goodiptv.club/api/bestv.php?id=hnwshd8m/8000000
河北卫视,https://live.goodiptv.club/api/bestv.php?id=hbwshd8m/8000000
甘肃卫视,https://live.goodiptv.club/api/bestv.php?id=gswshd8m/8000000
重庆卫视,https://live.goodiptv.club/api/bestv.php?id=cqws8m/8000000
东南卫视,https://live.goodiptv.club/api/bestv.php?id=dnwshd8m/8000000
云南卫视,https://live.goodiptv.club/api/bestv.php?id=ynwshd8m/8000000
贵州卫视,https://live.goodiptv.club/api/bestv.php?id=gzwshd8m/8000000
海南卫视,https://live.goodiptv.club/api/bestv.php?id=hainanwshd8m/8000000
成都,#genre#
CDTV-1 新闻综合频道,http://tvbox.cdtyk.com/live/cdtv.php?name=新闻综合频道
CDTV-2 经济资讯频道,http://tvbox.cdtyk.com/live/cdtv.php?name=经济资讯频道
CDTV-3 都市生活频道,http://tvbox.cdtyk.com/live/cdtv.php?name=都市生活频道
CDTV-4 影视文艺频道,http://tvbox.cdtyk.com/live/cdtv.php?name=影视文艺频道
CDTV-5 公共频道,http://tvbox.cdtyk.com/live/cdtv.php?name=公共频道
CDTV-6 少儿频道,http://tvbox.cdtyk.com/live/cdtv.php?name=少儿频道
彭州市广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=彭州市广播电视台
新津电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=新津电视台
青白江融媒体中心,http://tvbox.cdtyk.com/live/cdtv.php?name=青白江融媒体中心
蒲江电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=蒲江电视台
大邑广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=大邑广播电视台
金堂电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=金堂电视台
邛崃电视台综合频道,http://tvbox.cdtyk.com/live/cdtv.php?name=邛崃电视台综合频道
都江堰电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=都江堰电视台
简阳市广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=简阳市广播电视台
郫都区广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=郫都区广播电视台
双流区广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=双流区广播电视台
温江电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=温江电视台
新都区广播电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=新都区广播电视台
龙泉驿区新闻中心,http://tvbox.cdtyk.com/live/cdtv.php?name=龙泉驿区新闻中心
成华有线电视,http://tvbox.cdtyk.com/live/cdtv.php?name=成华有线电视
武侯电视,http://tvbox.cdtyk.com/live/cdtv.php?name=武侯电视
金牛区有线电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=金牛区有线电视台
青羊区融媒体中心,http://tvbox.cdtyk.com/live/cdtv.php?name=青羊区融媒体中心
锦江电视,http://tvbox.cdtyk.com/live/cdtv.php?name=锦江电视
高新电视台,http://tvbox.cdtyk.com/live/cdtv.php?name=高新电视台
广元,#genre#
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广元文化生活,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
朝天综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel104601/playlist.m3u8
剑阁综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel105549/playlist.m3u8
港台,#genre#
中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立iNEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY
東森新聞ㆍ全球,https://www.youtube.com/watch?v=Dn-LI8xzu7I
東森新聞ㆍ台湾,https://www.youtube.com/watch?v=S5WOGu2HSes
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
TVBS Live,https://www.youtube.com/watch?v=YvdcZ_jpLXE
TVBS News,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS新聞台,https://www.youtube.com/watch?v=2mCSYvcfhtc
寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣,https://www.youtube.com/watch?v=UcTIv4ZaE5Y
大愛一臺,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛二臺,https://www.youtube.com/watch?v=DTNkEm6jaqQ
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
